id,tag,title,description
100,D,Symbiosis metric,% days NCL predicted drift early and corrected course.
101,U,NFC tag rituals,"Use iPhone NFC automation tags at key locations (desk, gym bag) to emit NCL state transitions."
102,U,Focus Filter deltas as “role shifts”,Treat Focus Filters (work/personal) toggles as explicit mode changes; log every switch.
103,U,Live Activity interaction counts,"Use Live Activities (timers, rides, deliveries) as micro-commitments; log start/stop & frequency."
104,U,Lock-screen widget taps (self-reported),Use a minimal NCL widget and log taps as “check-in impulses” without storing content.
105,U,Home Screen page/habit mapping (manual),Track which page you open first after wake; map page to intent (work vs leisure).
106,U,Ringer/Silent state as social availability,Ringer on = open to interruptions; silent = protect focus; log transitions and durations.
107,U,AirPods in-ear + transparency mode events,Use headphone connection and transparency/noise control states as attention and environment proxies.
108,U,CarPlay connect/disconnect,Use CarPlay events to mark commute segments and reduce false productivity attributions.
109,U,Battery “low power mode” as scarcity trigger,Low Power Mode toggles correlate with survival-mode behavior; treat as state transition.
110,U,Charging geography (where you charge),Identify recurring charge locations (bedside/desk/car) to infer routines and boundaries.
111,U,Device temperature/thermal warnings (if surfaced),"Thermal events can indicate heavy compute, hot environments, or prolonged use; log as stressors."
112,U,Camera “usage event” without media retention,Log camera app open/close counts (not photos/videos) as environment documentation impulses.
113,U,Microphone permission prompts as “privacy tension”,Log when apps request mic access; treat as governance events for audit review.
114,U,Clipboard access prompts as “risk markers”,"If iOS shows clipboard access prompts, log the app/time as potential privacy risk event."
115,U,App privacy report snapshots (manual),Periodically export iOS app privacy report (if used) and ingest counts of network/permission use.
116,U,Keyboard language switches as cognitive context,Switching keyboard languages can indicate role/context shifts; log as a high-level marker.
117,U,Dictation usage frequency,Increased dictation may correlate with mobility or fatigue; log dictation activation counts.
118,U,Shortcuts “voice note to JSON” pipeline,"Use a Shortcut that captures a voice note, immediately extracts only metadata/tags, then deletes audio."
119,U,“Arrive/Leave” geofence automations,"Use geofence automations (home, office, school) to timestamp context shifts without GPS trails."
120,U,Bluetooth device class presence,"Log categories of nearby connected devices (car, headset, watch) as context without device IDs."
121,U,Wi‑Fi “captive portal” events,Captive portal prompts mark travel/public spaces; log as environment transitions.
122,U,Signal strength bands (cell/Wi‑Fi) as friction,Low signal correlates with user frustration and delays; log signal band changes (coarse).
123,U,Do Not Disturb bypass events,"When someone bypasses DND, log the event as high priority social interruption (no identity stored)."
124,U,Notification summary scheduling as discipline,Use notification summary windows as commitment boundaries; log adherence and breakages.
125,U,Screen brightness pattern (manual/auto changes),Sudden brightness changes can indicate moving indoors/outdoors; log brightness band changes.
126,U,Rotation lock toggles as activity proxy,Rotation lock changes can correlate with reading vs movement; log toggles.
127,U,Accessibility toggles as stress signal,VoiceOver/Zoom/Reduce White Point toggles can reflect fatigue or environment; log toggles if used.
128,U,Emergency alerts / severe weather notifications,Treat public alert notifications as exogenous shocks; tag timeline automatically.
129,U,Shazam / music ID usage,Music-ID usage can correlate with leisure/outings; log events as social context markers.
130,U,Wallet boarding passes & transit cards (metadata),Log presence of boarding pass activation windows (no destinations stored) to mark travel epochs.
131,U,Apple Pay transaction notifications (metadata only),"If bank notifications show amount/category, ingest as finance events without account details."
132,U,Screen Time “Most pickups app” shift,Day-to-day change in most-picked-up app is a strong drift indicator; treat as anomaly.
133,U,Notification “permission grant moments”,Log first-time notification permissions as app adoption/commitment moments.
134,U,Health “State of Mind” / mindfulness entries (if used),Use mood/mindfulness check-ins as self-report anchors for model calibration.
135,U,"Photos “people/places” counts (local-only, no faces)","If allowed, use aggregate counts (photos/day, new locations/day) without storing image content."
136,U,Daily “screenshot count” as confusion marker,High screenshot count can indicate troubleshooting/learning; log count only.
137,U,Safari Reading List additions (count only),"Additions indicate research intent; store domains/categories, not full URLs."
138,U,Files app “new/edited docs” counts,Document creation/edit counts reflect output; store metadata only.
139,U,App Store update bursts,Update bursts can correlate with system maintenance vs avoidance; log occurrences.
140,U,Calendar “declined events” ratio,High decline rate signals overload/boundary setting; log counts.
141,U,Reminder “snooze” frequency,Snooze frequency indicates avoidance or overcommitment; log counts.
142,U,Typing intensity proxy via 3rd-party keyboard? (avoid content),Only if user opts in: store keystrokes/min aggregate (no characters) via permitted APIs/tools.
143,U,Sleep Focus activation timing,Track Sleep Focus start/end as a strong boundary signal; correlate with late pickups.
144,U,Workout “route present” boolean,"If route exists, store only yes/no and duration, not the map."
145,U,AirDrop usage count,AirDrop events indicate collaboration/sharing; store count only.
146,U,Hotspot tethering on/off,Hotspot toggles mark travel/fieldwork; log state changes.
147,U,VPN on/off events,VPN usage indicates security posture or travel/public networks; log toggles.
148,U,Time-to-respond after notification,Estimate “interrupt cost” by measuring delay between notification and screen unlock (coarse).
149,U,Micro-pauses between pickups,High-frequency pickups with micro-pauses indicate anxiety loops; model as compulsion signature.
150,U,Weekly “signal diet” experiments,Run controlled weeks: disable one notification class and measure coherence/output delta.
